station_name,latitude,longitude,business_name,review_count,rating,categories,price,phone,distance,address,source
Hornby & Nelson,49.28062,-123.12482,Pacific Cinematheque Pacifique,,,Indie Movie Theater,,,251.0,1131 Howe St,FourSquare
Hornby & Nelson,49.28062,-123.12482,Commodore Ballroom,,,Music Venue,,,288.0,838 Granville St,FourSquare
Hornby & Nelson,49.28062,-123.12482,The Pawn Shop,,,Taco Restaurant,,,281.0,1117 Granville St,FourSquare
Hornby & Nelson,49.28062,-123.12482,Boulevard Kitchen & Oyster Bar,,,French Restaurant,,,275.0,845 Burrard St,FourSquare
Hornby & Nelson,49.28062,-123.12482,JOEY Burrard,,,New American Restaurant,,,267.0,820 Burrard St,FourSquare
Hornby & Nelson,49.28062,-123.12482,Pizza Garden,,,Pizzeria,,,282.0,675 Smithe St,FourSquare
Helmcken & Burrard,49.279938,-123.127478,Sushi Mugen,,,Sushi Restaurant,,,151.0,903 Davie St,FourSquare
Helmcken & Burrard,49.279938,-123.127478,Breka Bakery & Cafe,,,Bakery,,,171.0,855 Davie St,FourSquare
Helmcken & Burrard,49.279938,-123.127478,Pacific Cinematheque Pacifique,,,Indie Movie Theater,,,175.0,1131 Howe St,FourSquare
Helmcken & Burrard,49.279938,-123.127478,Firecrust,,,Pizzeria,,,235.0,808 Davie St,FourSquare
Helmcken & Burrard,49.279938,-123.127478,Nando's,,,American Restaurant,,,230.0,828 Davie St,FourSquare
Helmcken & Burrard,49.279938,-123.127478,Pallet Coffee Roasters,,,Coffee Shop,,,267.0,980 Howe St,FourSquare
Helmcken & Burrard,49.279938,-123.127478,The Pawn Shop,,,Taco Restaurant,,,272.0,1117 Granville St,FourSquare
Helmcken & Burrard,49.279938,-123.127478,The Templeton,,,Bistro,,,275.0,1087 Granville St,FourSquare
Helmcken & Burrard,49.279938,-123.127478,Le Crocodile Restaurant,,,French Restaurant,,,335.0,100A90 Burrard St,FourSquare
Helmcken & Burrard,49.279938,-123.127478,Samurai Japanese Restaurant,,,Sushi Restaurant,,,313.0,1108 Davie St,FourSquare
Pacific & Richards,49.273663,-123.127075,Matchstick Coffee Roasters,,,Café,,,102.0,1328 Richards St,FourSquare
Pacific & Richards,49.273663,-123.127075,George Wainborn Park,,,Playground,,,221.0,450 Beach Cres,FourSquare
Pacific & Richards,49.273663,-123.127075,David Lam Park,,,Park,,,246.0,1300 Pacific Blvd,FourSquare
Pacific & Richards,49.273663,-123.127075,Rodney's Oyster House,,,Seafood Restaurant,,,289.0,1228 Hamilton St,FourSquare
Pacific & Richards,49.273663,-123.127075,The Flying Pig Yaletown,,,Restaurant,,,404.0,1168 Hamilton St,FourSquare
Pacific & Richards,49.273663,-123.127075,Roundhouse Community Arts & Recreation Centre,,,Community Center,,,380.0,181 Roundhouse Mews,FourSquare
Pacific & Richards,49.273663,-123.127075,Mister,,,Ice Cream Parlor,,,434.0,1141 Mainland St,FourSquare
Pacific & Richards,49.273663,-123.127075,MeeT in Yaletown,,,Vegan and Vegetarian Restaurant,,,414.0,1165 Mainland St,FourSquare
Pacific & Richards,49.273663,-123.127075,Vancity Theatre,,,Movie Theater,,,409.0,1181 Seymour St,FourSquare
Pacific & Richards,49.273663,-123.127075,False Creek Seawall,,,Hiking Trail,,,481.0,1689 Johnston St,FourSquare
Chilco & Beach,49.28972,-123.144028,Stanley Park English Bay Seawall,,,Hiking Trail,,,201.0,Beach Ave,FourSquare
Chilco & Beach,49.28972,-123.144028,Sylvia's Bar,,,Bar,,,164.0,1154 Gilford St,FourSquare
